Host,DateTime,Seconds,Temperature,Humidity,whiteLight,irLight
hc4,2018-06-26 21:56:26,1530064586.8074384,30.5,34.8,,
hc4,2018-06-26 21:56:28,1530064588.4926267,30.5,34.8,,
hc4,2018-06-26 21:57:27,1530064647.4170678,30.5,34.8,,
hc4,2018-06-26 21:57:29,1530064649.0985498,30.5,34.8,,
hc4,2018-06-26 21:58:28,1530064708.0116255,30.5,34.8,,
hc4,2018-06-26 21:58:29,1530064709.6927078,30.4,34.7,,
hc4,2018-06-26 21:59:28,1530064768.605282,30.5,34.7,,
hc4,2018-06-26 21:59:30,1530064770.2868485,30.5,34.7,,
hc4,2018-06-26 22:00:29,1530064829.1991358,30.5,34.8,,
hc4,2018-06-26 22:00:30,1530064830.8846579,30.5,34.7,,
hc4,2018-06-26 22:01:29,1530064889.7930968,30.5,34.7,,
hc4,2018-06-26 22:01:31,1530064891.477548,30.5,34.7,,
hc4,2018-06-26 22:02:30,1530064950.3860123,30.5,34.7,,
hc4,2018-06-26 22:02:34,1530064954.5987399,30.5,34.7,,
hc4,2018-06-26 22:03:30,1530065010.9796174,30.5,34.7,,
hc4,2018-06-26 22:03:35,1530065015.1956456,30.5,34.7,,
hc4,2018-06-26 22:04:34,1530065074.100752,30.5,34.7,,
hc4,2018-06-26 22:04:38,1530065078.3380435,30.5,34.7,,
hc4,2018-06-26 22:05:34,1530065134.6967163,30.5,34.7,,
hc4,2018-06-26 22:05:41,1530065141.4617527,30.4,34.6,,
hc4,2018-06-26 22:06:42,1530065202.058179,30.5,34.7,,
hc4,2018-06-26 22:06:37,1530065197.8172443,30.4,34.7,,
hc4,2018-06-26 22:07:42,1530065262.6680698,30.4,34.6,,
hc4,2018-06-26 22:07:43,1530065263.4742541,30.4,34.6,,
hc4,2018-06-26 22:08:44,1530065324.067607,30.4,34.7,,
hc4,2018-06-26 22:08:43,1530065323.2653708,30.4,34.7,,
hc4,2018-06-26 22:09:47,1530065387.1888957,30.5,34.7,,
hc4,2018-06-26 22:09:53,1530065393.9742064,30.5,34.7,,
hc4,2018-06-26 22:10:47,1530065447.7855577,30.4,34.6,,
hc4,2018-06-26 22:10:54,1530065454.5706077,30.4,34.6,,
hc4,2018-06-26 22:11:50,1530065510.9058237,30.4,34.6,,
hc4,2018-06-26 22:11:55,1530065515.1635535,30.4,34.6,,
hc4,2018-06-26 22:12:51,1530065571.500276,30.4,34.6,,
hc4,2018-06-26 22:12:55,1530065575.7578015,30.4,34.6,,
hc4,2018-06-26 22:13:52,1530065632.0926974,30.4,34.6,,
hc4,2018-06-26 22:13:56,1530065636.3507535,30.3,34.5,,
hc4,2018-06-26 22:14:52,1530065692.6862335,30.4,34.6,,
hc4,2018-06-26 22:14:56,1530065696.9450316,30.3,34.6,,
hc4,2018-06-26 22:15:53,1530065753.2787836,30.4,34.6,,
hc4,2018-06-26 22:15:57,1530065757.5375369,30.3,34.6,,
hc4,2018-06-26 22:16:53,1530065813.8719032,30.4,34.6,,
hc4,2018-06-26 22:16:58,1530065818.1327143,30.3,34.6,,
hc4,2018-06-26 22:17:54,1530065874.4667249,30.4,34.6,,
hc4,2018-06-26 22:17:58,1530065878.728315,30.4,34.6,,
hc4,2018-06-26 22:18:57,1530065937.5885541,30.4,34.6,,
hc4,2018-06-26 22:19:04,1530065944.3865807,30.4,34.6,,
hc4,2018-06-26 22:19:58,1530065998.1816514,30.4,34.6,,
hc4,2018-06-26 22:20:04,1530066004.9864626,30.4,34.6,,
hc4,2018-06-26 22:21:01,1530066061.302416,30.4,34.6,,
hc4,2018-06-26 22:21:05,1530066065.5796869,30.4,34.6,,
hc4,2018-06-26 22:22:06,1530066126.172179,30.4,34.6,,
hc4,2018-06-26 22:22:01,1530066121.8983886,30.4,34.5,,
hc4,2018-06-26 22:23:07,1530066187.553275,30.4,34.6,,
hc4,2018-06-26 22:23:06,1530066186.7673886,30.4,34.6,,
hc4,2018-06-26 22:24:08,1530066248.14875,30.4,34.6,,
hc4,2018-06-26 22:24:12,1530066252.4184546,30.4,34.6,,
hc4,2018-06-26 22:25:08,1530066308.7410338,30.4,34.6,,
hc4,2018-06-26 22:25:13,1530066313.0147035,30.4,34.6,,
hc4,2018-06-26 22:26:11,1530066371.869683,30.4,34.6,,
hc4,2018-06-26 22:26:13,1530066373.6090794,30.4,34.7,,
hc4,2018-06-26 22:27:12,1530066432.4622853,30.4,34.7,,
hc4,2018-06-26 22:27:16,1530066436.7311924,30.4,34.7,,
hc4,2018-06-26 22:28:15,1530066495.583758,30.4,34.7,,
hc4,2018-06-26 22:28:17,1530066497.3305411,30.4,34.7,,
hc4,2018-06-26 22:29:16,1530066556.175821,30.4,34.7,,
hc4,2018-06-26 22:29:17,1530066557.9245348,30.4,34.6,,
hc4,2018-06-26 22:30:21,1530066621.0572722,30.3,34.6,,
hc4,2018-06-26 22:30:16,1530066616.76828,30.4,34.6,,
hc4,2018-06-26 22:31:21,1530066681.6521964,30.3,34.5,,
hc4,2018-06-26 22:31:22,1530066682.4194624,30.3,34.6,,
hc4,2018-06-26 22:32:22,1530066742.2542498,30.3,34.6,,
hc4,2018-06-26 22:32:30,1530066750.597665,30.3,34.6,,
hc4,2018-06-26 22:33:22,1530066802.863394,30.3,34.6,,
hc4,2018-06-26 22:33:36,1530066816.25232,30.3,34.6,,
hc4,2018-06-26 22:34:23,1530066863.47425,30.3,34.6,,
hc4,2018-06-26 22:34:36,1530066876.8454564,30.3,34.6,,
hc4,2018-06-26 22:35:24,1530066924.084744,30.3,34.6,,
hc4,2018-06-26 22:35:39,1530066939.970988,30.3,34.6,,
hc4,2018-06-26 22:36:24,1530066984.7069461,30.3,34.6,,
hc4,2018-06-26 22:36:43,1530067003.0942483,30.3,34.6,,
hc4,2018-06-26 22:37:25,1530067045.317579,30.3,34.6,,
hc4,2018-06-26 22:37:43,1530067063.688969,30.3,34.6,,
hc4,2018-06-26 22:38:25,1530067105.9292054,30.3,34.6,,
hc4,2018-06-26 22:38:44,1530067124.2840698,30.3,34.7,,
hc4,2018-06-26 22:39:26,1530067166.5252538,30.3,34.7,,
hc4,2018-06-26 22:39:44,1530067184.8796775,30.3,34.7,,
hc4,2018-06-26 22:40:27,1530067227.1487253,30.3,34.7,,
hc4,2018-06-26 22:40:45,1530067245.475088,30.3,34.7,,
hc4,2018-06-26 22:41:27,1530067287.771851,30.2,34.7,,
hc4,2018-06-26 22:41:46,1530067306.070286,30.3,34.7,,
hc4,2018-06-26 22:42:28,1530067348.3929942,30.3,34.7,,
hc4,2018-06-26 22:42:49,1530067369.196523,30.3,34.7,,
hc4,2018-06-26 22:43:29,1530067409.0072603,30.3,34.7,,
hc4,2018-06-26 22:43:49,1530067429.7938426,30.3,34.7,,
hc4,2018-06-26 22:44:29,1530067469.6170132,30.3,34.7,,
hc4,2018-06-26 22:44:50,1530067490.3908284,30.3,34.7,,
hc4,2018-06-26 22:45:30,1530067530.239413,30.3,34.7,,
hc4,2018-06-26 22:45:53,1530067553.512558,30.3,34.7,,
hc4,2018-06-26 22:46:30,1530067590.8491602,30.2,34.6,,
hc4,2018-06-26 22:46:54,1530067614.1095645,30.3,34.7,,
hc4,2018-06-26 22:47:34,1530067654.0010605,30.3,34.7,,
hc4,2018-06-26 22:47:54,1530067674.7028117,30.2,34.6,,
